gesture_recognition_mem.committed_Committed_AS,gesture_recognition_system.active_processes_active,gesture_recognition_system.cpu_user,gesture_recognition_system.file_nr_used_used,gesture_recognition_system.processes_running,gesture_recognition_system.ram_buffers,gesture_recognition_system.ram_cached,gesture_recognition_system.ram_free,gesture_recognition_system.ram_used,Target
26608.74,1582,25.29611,14816,9,31.94922,1801.207,282.0078,4675.93,5
26610.85,1583,13.924051,14848,4,31.95703,1801.371,287.3516,4670.414,5
26608.87,1583,16.94772,14880,5,31.96484,1801.375,290.8594,4666.895,5
26608.52,1579,19.10774,14880,10,31.96484,1801.504,298.3242,4659.301,5
26610.5,1580,17.38397,14848,4,31.97266,1801.496,295.3633,4662.262,5
26608.55,1579,9.983221,14848,6,31.97266,1801.504,310.4688,4647.148,5
26610.4,1585,12.584459,14848,5,31.97266,1801.504,307.4375,4650.18,5
26652.57,1587,27.74468,14784,11,36.40625,1804.355,283.7227,4666.609,5
26633.32,1587,47.9661,14816,13,39.05859,1810.113,219.8555,4722.066,5
26616.12,1585,28.75211,14848,9,39.50391,1810.547,178.918,4762.125,5
26617.67,1584,25.14818,14816,5,39.52734,1810.578,187.7461,4753.242,5
26606.22,1583,14.322251,14848,5,39.5625,1810.859,191.3672,4749.305,5
26606.24,1583,9.308284,14816,4,39.5625,1810.859,193.8633,4746.809,5
26618.03,1585,13.202726,14816,8,39.5625,1810.863,215.4219,4725.246,5
26634.2,1583,10.262935,14848,9,39.58594,1810.867,202.9492,4737.691,5
26635.41,1584,25.31969,14880,7,39.58594,1811.395,146.03125,4794.082,5
26635.44,1583,17.63699,14848,6,39.58594,1811.395,181.3672,4758.746,5
26635.44,1583,10.753599,14880,4,39.64453,1811.461,214.3047,4725.684,5
27246.08,1583,7.67285,14944,4,39.64453,1811.469,225.1406,4714.84,5
26889.07,1584,7.828283,14976,6,39.64453,1811.484,224.8945,4715.07,5
26640.26,1584,24.27844,14944,7,39.64453,1811.52,195.5039,4744.426,5
26635.65,1584,12.818336,14880,5,39.64453,1811.52,220.5859,4719.344,5
26663.44,1584,19.03144,14912,5,39.65234,1811.52,220.0586,4719.863,5
26637.08,1583,10.517388,14944,5,39.65234,1811.52,271.9219,4668.0,5
26640.24,1581,13.486005,14976,3,39.65234,1811.523,271.8281,4668.09,5
26642.27,1582,23.56419,14944,4,39.65234,1811.523,233.3633,4706.555,5
26632.24,1577,13.755274,14976,4,39.65234,1810.242,301.4766,4639.723,5
26634.5,1578,11.299915,14976,3,39.66016,1810.242,295.9141,4645.277,5
26637.02,1578,25.12648,14944,22,39.66016,1810.262,251.0859,4690.086,5
26635.31,1577,17.91421,14944,13,39.66016,1810.262,232.1211,4709.051,5
26629.11,1577,15.189873,14944,5,39.66016,1810.266,246.6875,4694.48,5
26630.3,1577,23.67758,14880,19,39.66016,1810.281,236.9492,4704.203,5
26631.54,1580,23.31081,14880,5,39.66797,1807.93,246.7188,4696.777,5
26625.04,1577,12.84869,14880,5,39.66797,1807.938,297.2617,4646.227,5
26625.04,1577,10.228233,14816,5,39.69141,1807.938,292.4531,4651.012,5
26625.04,1577,7.529611,14848,5,39.69141,1807.938,308.1953,4635.27,5
26619.77,1577,7.718405,14848,4,39.69141,1807.941,305.375,4638.086,5
26619.82,1577,10.280374,14880,5,39.69141,1807.941,310.0117,4633.449,5
26619.94,1577,11.921098,14880,5,39.69141,1807.945,307.5312,4635.926,5
26619.94,1579,11.729452,14912,4,39.69922,1807.945,305.793,4637.656,5
26610.92,1578,11.825193,14816,6,39.69922,1807.949,304.4688,4638.977,5
26603.04,1577,11.054422,14848,4,39.71094,1808.965,329.2578,4613.16,5
26611.27,1577,16.18887,14880,23,39.71094,1808.809,325.8555,4616.719,5
26611.27,1577,28.87384,14848,15,39.71094,1808.82,251.0508,4691.512,5
26613.68,1577,15.619694,14848,8,39.71875,1808.82,262.8242,4679.73,5
26613.68,1577,24.10866,14848,4,39.71875,1808.828,252.0664,4690.48,5
26613.62,1577,18.05085,14848,5,39.71875,1808.84,256.8008,4685.734,5
26610.41,1577,24.42942,14784,4,39.71875,1808.848,260.0898,4682.438,5
26610.51,1577,20.10178,14816,4,39.71875,1808.863,246.4102,4696.102,5
26612.72,1577,20.21997,14848,5,39.72656,1808.875,244.9805,4697.512,5
26611.67,1577,17.15976,14848,8,39.72656,1808.887,231.8984,4710.582,5
26609.49,1578,18.94384,14848,4,39.73438,1809.008,283.3594,4658.992,5
26609.5,1577,11.996644,14880,4,39.73438,1809.008,297.1602,4645.191,5
26609.56,1577,7.841484,14880,7,39.73438,1809.012,302.0312,4640.316,5
26609.56,1577,11.522288,14816,4,39.73438,1809.012,301.1172,4641.23,5
26603.05,1578,13.047138,14784,4,39.73438,1809.012,284.2461,4658.102,5
