object_detection_mem.committed_Committed_AS,object_detection_system.active_processes_active,object_detection_system.cpu_user,object_detection_system.file_nr_used_used,object_detection_system.processes_running,object_detection_system.ram_buffers,object_detection_system.ram_cached,object_detection_system.ram_free,object_detection_system.ram_used,Target
24245.04,1696,8.319328,15244,3,45.95703,1992.027,439.9648,4313.148,0
24245.37,1694,8.571429,15244,3,45.95703,1992.027,435.5234,4317.59,0
24246.73,1693,7.286432,15244,1,45.95703,1992.027,433.5391,4319.574,0
24246.65,1692,7.310924,15244,1,45.95703,1992.031,430.1719,4322.938,0
24240.37,1692,7.718121,15244,1,45.95703,1992.031,437.4414,4315.668,0
24240.27,1692,6.992418,15212,1,45.96484,1992.031,442.1719,4310.93,0
24240.27,1692,7.724601,15244,2,45.96484,1992.031,442.8086,4310.293,0
24240.29,1692,7.879296,15212,2,45.97266,1992.031,449.6016,4303.492,0
24240.29,1693,7.744108,15212,2,45.97266,1992.031,450.5391,4302.555,0
24240.29,1693,8.326325,15180,2,45.97266,1992.031,453.9766,4299.117,0
24241.99,1694,7.97649,15212,3,45.97266,1992.031,451.5898,4301.504,0
