face_detection_mem.committed_Committed_AS,face_detection_system.active_processes_active,face_detection_system.cpu_user,face_detection_system.file_nr_used_used,face_detection_system.processes_running,face_detection_system.ram_buffers,face_detection_system.ram_cached,face_detection_system.ram_free,face_detection_system.ram_used,Target
24877.66,1660.0,10.771841,14710.0,4.0,72.85156,1729.051,601.8125,4387.383,4
24870.65,1659.0,5.792164,14710.0,3.0,72.85156,1730.145,614.7344,4373.367,4
24881.45,1658.0,10.732538,14710.0,1.0,72.875,1738.324,595.0625,4384.836,4
27641.35,1704.0,23.40242,14742.0,15.0,73.70703,1779.043,441.4297,4496.918,4
27064.36,1695.0,22.09802,14774.0,11.0,73.78125,1707.812,485.5469,4523.957,4
27060.93,1695.0,13.321947,14806.0,2.0,73.71484,1655.6758,544.9297,4516.777,4
27313.21,1696.0,15.739949,14806.0,5.0,73.66406,1637.8594,545.3242,4534.25,4
27052.87,1696.0,10.723404,14806.0,2.0,73.67188,1637.9023,531.7656,4547.758,4
27814.28,1713.0,11.280746,14870.0,23.0,74.40625,1627.7695,506.75,4582.172,4
27843.23,1715.0,18.43003,14838.0,5.0,74.91016,1617.5039,494.6328,4604.051,4
27853.86,1714.0,16.666667,14870.0,1.0,75.19531,1624.6562,433.125,4658.121,4
27886.69,1716.0,15.299145,14870.0,2.0,75.42969,1627.7891,418.3711,4669.508,4
27884.08,1716.0,21.55689,14902.0,5.0,75.80469,1603.125,484.3555,4627.812,4
27890.14,1716.0,12.243151,14902.0,8.0,75.96484,1604.9258,461.4336,4648.773,4
27892.12,1716.0,11.976048,14902.0,2.0,76.00391,1605.0586,470.8359,4639.199,4
27889.5,1716.0,5.867347,14902.0,1.0,76.00391,1605.4883,463.25,4646.355,4
28138.15,1717.0,6.723404,14902.0,2.0,76.00391,1605.5508,472.6484,4636.895,4
28226.12,1725.0,12.0,14902.0,6.0,76.03906,1591.0781,432.1406,4691.84,4
28009.82,1725.0,11.68942,14934.0,2.0,76.03906,1580.0156,397.5312,4737.512,4
28237.36,1727.0,6.334459,14934.0,6.0,76.03906,1580.2578,365.1875,4769.613,4
