hand_landmarking_mem.committed_Committed_AS,hand_landmarking_system.active_processes_active,hand_landmarking_system.cpu_user,hand_landmarking_system.file_nr_used_used,hand_landmarking_system.processes_running,hand_landmarking_system.ram_buffers,hand_landmarking_system.ram_cached,hand_landmarking_system.ram_free,hand_landmarking_system.ram_used,Target
30663.57,1659,40.45997,15221,12,40.69531,1658.2227,587.1406,4509.492,3
30693.64,1659,22.47863,15221,8,40.70312,1658.2109,583.1211,4508.094,3
30663.61,1659,13.162393,15221,11,40.70312,1658.2109,584.082,4511.047,3
30663.64,1659,18.95093,15221,10,40.70312,1658.8164,581.1328,4501.68,3
30663.64,1659,12.350937,15253,10,40.70312,1658.8164,590.5,4510.348,3
30653.86,1659,12.563667,15253,6,40.70312,1658.8164,581.2266,4503.719,3
30655.96,1659,10.178117,15253,9,40.71094,1658.8203,587.8555,4487.613,3
30653.86,1660,9.137056,15253,12,40.71094,1658.8203,603.9609,4483.32,3
30657.64,1659,9.754029,15253,10,40.71094,1658.8203,608.2422,4481.129,3
30924.16,1660,9.414758,15253,12,40.71094,1658.8203,610.4336,4476.453,3
30670.89,1660,9.398815,15253,14,40.01562,1652.5273,615.1094,4518.469,3
30665.93,1660,9.531915,15221,7,40.01562,1652.5391,573.0938,4527.875,3
30693.53,1658,11.290323,15221,7,40.44531,1652.5547,570.6758,4513.543,3
30665.81,1659,17.06282,15253,14,44.10938,1655.8594,584.9961,4514.461,3
30915.46,1657,24.23469,15317,12,44.14062,1656.6914,583.6328,4518.863,3
30665.9,1657,19.89839,15317,7,44.14062,1656.9258,572.2617,4507.059,3
30665.91,1657,19.3686,15285,5,44.14062,1656.9297,583.2031,4495.34,3
30909.92,1657,14.551607,15285,5,44.26562,1656.9336,594.6875,4482.426,3
30656.28,1657,21.83811,15253,12,43.77344,1654.2695,607.5977,4480.945,3
30656.37,1657,10.464135,15221,6,43.77344,1654.2891,608.9492,4472.617,3
30686.86,1658,9.652837,15221,5,42.66406,1645.9805,620.4336,4466.398,3
30657.76,1659,17.20339,15221,16,42.43359,1644.1758,626.6328,4439.281,3
30662.34,1658,18.48382,15189,6,41.93359,1640.9258,663.168,4425.023,3
30665.6,1659,19.45624,15157,10,41.94922,1641.207,679.4609,4398.52,3
30660.69,1663,26.61565,15157,6,41.94922,1641.2969,709.7148,4409.188,3
30650.9,1662,20.05119,15157,9,41.96484,1641.2852,698.75,4449.648,3
